Domain,pgid,ExpID,Submitted,SubmissionTime,Running,Error,ErrorTime,Finished,FinishedTime,Restart,InverseIterations,InverseIterationsDone,SpinupYears,SpinupYearsDone,InvertFor,GradientCalc,gsC,gsA,gaC,gaA,Measurements,Velocity,startGeometry,startMesh,SlidingLaw,m,muk,priorC,startC,n,priorAGlen,startAglen,Comments
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,447869.1,330423.5,12.8,86.5,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,3.58,0.5,0.000367836843125897,1392,2.83,1.06961795559542E-08,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,475944.5,101297.6,67.5,14.3,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,3.45,0.5,0.000594186835520479,1905,2.72,1.73208253790561E-08,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,390687,245096.1,74.9,65.8,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,3.34,0.5,0.000891558047872471,1046,3.27,1.55549668718139E-09,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,266711.7,164491.5,12,5.5,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,3.33,0.5,0.00092506068643108,1743,2.78,1.33162881465174E-08,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,99919.1,357148,80,81.5,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,3.24,0.5,0.00128930487197268,1046,3.36,1.0485544595896E-09,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,103028.4,226224.7,4.9,38.4,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,3.15,0.5,0.00179697081205097,1905,2.66,2.25296260122017E-08,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,484206.9,270091.5,65.3,49.4,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,3.07,0.5,0.00241382522964915,1905,2.61,2.80484251636135E-08,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,152179.6,358060.5,9.3,97,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,3,0.5,0.003125,1743,2.81,1.16759031662689E-08,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,320220.4,171146.7,86.5,27,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,2.9,0.5,0.00451914234247477,1046,3.4,8.79969039161807E-10,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,289041.9,430339.4,51.2,48.3,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,2.81,0.5,0.00629856216435897,1743,2.86,9.37855619901162E-09,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,293336.7,197818.6,59.4,21.8,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,2.68,0.5,0.010174409634895,1743,3.12,3.00146019767087E-09,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,178038.3,494109.7,56.6,19.4,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,2.59,0.5,0.0141806003693934,1743,2.84,1.02375912302364E-08,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,70445.6,232007.3,18.3,52,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,2.56,0.5,0.0158400452488021,1743,2.76,1.45360023286373E-08,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,236528.7,382240.9,7.5,100,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,2.45,0.5,0.0237674734208192,1757,3.15,2.63172126044603E-09,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,193406,367033.9,72.2,96,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,2.4,0.5,0.0285815657454579,1757,3.11,3.13590926638277E-09,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,426042.4,472885.8,37.5,4.1,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,2.33,0.5,0.0370024274572432,1276,3.49,5.93183815766166E-10,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,438594.3,342930.5,96.9,33.2,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,2.23,0.5,0.0535101557428412,1757,2.95,6.32204941870028E-09,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,455881.4,219884.3,41.3,39.8,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,2.16,0.5,0.0692756188983427,1276,3.29,1.42497514991817E-09,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,338430.9,377920.3,20.3,91.4,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,2.03,0.5,0.111904670620068,1814,2.5,4.54201307929645E-08,0,
